px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
84.1618	24.5431	1.9029	-0.00365997	0.0423894	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.229632
84.1619	24.5444	1.80275	-0.0382897	-0.0270405	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.187789
85.6373	23.8194	1.88695	-0.56483	-0.333111	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.297362
85.6942	23.8383	1.94256	-0.514471	-0.276569	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.865088
86.97	23.4964	1.39861	-0.348786	-0.0186268	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.16621
87.0778	23.5315	1.45572	-0.29564	-0.00554162	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.59066
88.7529	22.7968	2.07433	-0.361046	-0.0363028	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.0412
88.6843	22.7672	1.94008	-0.547521	-0.286963	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.04749
89.557	22.2682	1.23115	-0.680715	-0.223341	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	2.32477
89.6135	22.2844	1.28964	-0.595588	-0.113213	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.708425
90.5078	21.6626	1.26982	-0.56512	-0.0238895	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.042637
90.5911	21.6863	1.35154	-0.441044	0.0976403	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.70169
91.7056	21.1173	1.46285	-0.344325	0.0992996	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0606359
91.7532	21.126	1.40127	-0.436949	-0.0946762	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.14747
92.8523	20.9401	1.32589	-0.0805841	0.17739	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.304091
92.9096	20.9654	1.20098	-0.0765593	0.10105	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.69488
93.512	20.2466	0.947255	-0.841652	-0.415567	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	1.63055
93.5753	20.2892	1.10301	-0.580629	-0.0948267	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.27109
95.211	19.6627	1.97946	0.0843115	0.394002	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	5.18972
95.0193	19.6664	1.40999	-0.119803	0.159331	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	7.82912
95.5456	19.6978	1.04979	0.102919	0.198532	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	1.02632
95.5458	19.6987	0.944607	0.088999	0.179235	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.117233
96.2681	19.1975	0.899768	-0.728345	-0.39668	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	1.07181
96.3125	19.2252	1.02295	-0.565961	-0.220246	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.659084
97.4583	18.7294	1.5055	-0.156034	0.167775	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.9837
97.4139	18.7288	1.32704	-0.287358	-0.0202287	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.758525
98.2227	18.3725	1.22952	-0.331094	-0.035386	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.0621559
98.2331	18.3705	1.13825	-0.406632	-0.161344	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.445427
99.0224	17.3791	1.41528	-1.08178	-0.453779	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.558541
99.0397	17.4144	1.41387	-0.737321	-0.00322271	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0.811799
99.9949	16.9599	1.13607	-0.388251	0.203874	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.601238
100.061	16.9763	1.12702	-0.371891	0.162118	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.84947
101.169	16.5402	1.41111	-0.193572	0.170763	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.477125
101.144	16.5318	1.26179	-0.300271	0.0282558	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.363134
102.353	16.3931	1.47704	0.109966	0.252354	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.574893
102.27	16.3855	1.23271	0.0640558	0.211815	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.57764
103.026	15.3985	1.05234	-1.16568	-0.625179	103.003	15.353	103.119	15.4967	1.11708	-0.508169	2.5024
102.97	15.4608	1.17632	-0.620685	0.0394637	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	2.69724
104.083	15.2422	1.20847	0.0414525	0.422103	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	1.00455
104.046	15.2304	1.22844	0.00485685	0.404111	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.612072
105.507	14.4726	1.55767	-0.883581	-0.374597	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	2.18399
105.462	14.4955	1.6282	-0.654867	-0.0934522	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.930366
106.811	14.0288	1.52441	-0.212865	0.245187	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.735641
106.759	14.0163	1.52907	-0.231095	0.262323	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.12386
108.072	13.6636	1.64259	-0.0959055	0.182797	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0875243
108.084	13.6651	1.65407	-0.0905611	0.18683	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0339784
109.523	13.571	1.7565	0.070923	0.17089	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.0869676
109.483	13.5656	1.64558	0.0533078	0.154556	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.385147
111.051	12.6067	1.76347	-0.956147	-0.544773	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	1.4507
111.13	12.6682	1.9903	-0.548077	0.00886727	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.7905
112.894	12.4633	1.80188	0.0735481	0.403362	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	1.12521
112.89	12.4587	1.83228	0.0681365	0.400717	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.068506
114.776	12.5517	2.05006	0.116659	0.17489	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.590841
114.795	12.5531	1.99652	0.104375	0.16673	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.152759
116.672	12.1146	2.09344	-0.407886	-0.24742	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0.616983
116.712	12.1359	2.29888	-0.269598	-0.0481566	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.691419
118.916	11.9968	2.50912	0.116669	0.23052	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.835645
118.901	12.0022	2.37659	0.127029	0.242639	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.189493
120.697	12.2943	2.35573	0.263731	0.176055	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.0198234
120.74	12.2988	2.35012	0.260965	0.178134	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.459251
123.515	12.8222	2.78121	-0.00655574	-0.107757	123.568	12.8297	122.95	12.5114	2.29835	0.246599	2.5901
123.44	12.81	2.60121	-0.0172387	-0.136363	123.142	12.7694	122.95	12.5114	2.29835	0.246599	1.41759
124.916	12.7726	2.38713	-0.105085	-0.108559	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0.585519
125.014	12.7875	2.63463	-0.0425055	-0.0191817	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.35197
127.815	13.3179	2.90513	0.462866	0.313023	127.853	13.3273	127.609	13.2365	2.44434	0.495787	1.56638
127.753	13.3112	2.87741	0.452284	0.306298	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.94341
129.957	13.7128	2.58978	0.211067	-0.0367362	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.640768
130.027	13.7173	2.58398	0.190734	-0.0437156	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.33608
132.09	14.5023	2.63424	0.401115	0.118533	132.092	14.507	132.53	14.458	2.55028	0.74543	0.0865002
132.159	14.5049	2.77558	0.348108	0.040219	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.11993
135.03	15.0424	3.08982	-0.018318	-0.221074	135.074	15.0475	135.066	15.2513	2.58865	0.863795	1.51304
135.035	15.0352	2.91287	-0.060894	-0.287774	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.286415
137.557	16.1991	2.83256	0.660408	0.356852	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.20238
137.583	16.1818	3.09358	0.484901	0.0624505	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.774592
140.31	17.0085	3.14329	0.173734	-0.184613	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.437762
140.316	17.0073	3.09224	0.176371	-0.176933	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0881533
142.885	17.9853	3.15022	0.413183	0.0899679	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.22344
142.839	17.9798	3.13553	0.413679	0.091026	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.505927
145.38	19.1585	3.23433	0.4133	0.0311433	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.131343
145.46	19.1693	3.23313	0.412279	0.0510686	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.71768
148.229	20.4685	3.42941	0.398381	0.00773704	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.412847
148.216	20.4713	3.23885	0.478205	0.148953	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.325334
150.673	22.1077	3.37383	0.625138	0.146384	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.175237
150.665	22.1034	3.42472	0.583729	0.068477	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.0849192
153.409	23.4901	3.43696	0.392701	-0.100525	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.193762
153.39	23.4851	3.27038	0.472748	0.0450243	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.364225
156.035	24.8048	3.3656	0.420553	-0.0184605	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.148244
156.027	24.8087	3.14042	0.50991	0.141055	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.424197
158.876	26.0218	3.34137	0.296474	-0.0897893	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.830228
158.904	26.0256	3.27696	0.3026	-0.0677349	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.285262
161.41	27.4205	3.3443	0.558313	0.140009	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.141366
161.443	27.4315	3.25474	0.612095	0.23314	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.407118
163.634	28.7801	3.04597	0.586123	0.0671342	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.240088
163.743	28.7965	3.13813	0.535273	0.0104302	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.92142
166.772	30.1868	3.59616	0.28262	-0.164	166.828	30.2062	166.809	30.0721	2.63006	1.22694	2.00566
166.732	30.1749	3.27255	0.349273	-0.0458436	166.748	29.7121	166.809	30.0721	2.63006	1.22694	1.06574
169.1	31.3697	3.27351	0.482313	0.0694185	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.0417504
169.12	31.3764	3.1849	0.519801	0.13461	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.213557
172.143	32.3328	3.36278	0.137149	-0.201672	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.06351
172.147	32.3263	3.14535	0.11162	-0.237719	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.383214
174.643	33.4526	3.1257	0.532429	0.186621	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.507353
174.627	33.4541	3.04003	0.567832	0.246727	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.108307
177.03	34.2123	2.84523	0.27426	-0.101415	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.482428
177.045	34.2116	2.74782	0.274356	-0.0881692	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.20474
180.11	35.1342	3.09235	0.253717	-0.0443214	180.145	35.1423	179.799	35.1289	2.47883	0.732949	1.6575
180.01	35.1166	2.81281	0.290507	0.00262158	179.543	35.4767	179.799	35.1289	2.47883	0.732949	2.52483
182.586	35.7511	2.93963	0.188046	-0.0635171	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.260467
182.5	35.7339	2.7231	0.195196	-0.0609008	182.047	36.2626	182.292	35.8114	2.42515	0.611338	1.8671
184.727	36.5104	2.7746	0.397668	0.105721	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.11631
184.729	36.517	2.56242	0.454155	0.195597	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.289136
186.935	36.9455	2.55357	0.0847014	-0.162324	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.418501
187.001	36.9581	2.58737	0.0641406	-0.17537	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.11785
189.449	37.3984	2.71808	0.262723	0.0636464	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.450937
189.481	37.4087	2.51148	0.297255	0.106358	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.645299
191.725	37.5682	2.56609	-0.0486742	-0.179729	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.292153
191.7	37.5573	2.42403	-0.0882021	-0.244531	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.269084
193.479	37.2761	2.33419	-0.236495	-0.185584	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.0644601
193.497	37.2793	2.32821	-0.23801	-0.196013	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.0983814
195.939	37.3947	2.59276	0.266175	0.253223	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	1.81676
195.841	37.3973	2.20189	0.30466	0.321981	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.61327
197.716	37.7344	2.24115	0.184926	0.0423848	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.242403
197.672	37.7246	2.0881	0.181781	0.0384711	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.52157
199.298	37.2998	2.01745	-0.396605	-0.345098	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0.467525
199.311	37.3032	2.03255	-0.389653	-0.334399	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.041446
201.488	37.0004	2.3425	0.0320685	0.158497	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	2.20277
201.368	36.9975	1.97409	-0.0688809	0.0100098	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	3.16854
202.96	36.4634	2.02975	-0.371992	-0.184395	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.116633
202.922	36.4447	1.87096	-0.496052	-0.365076	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.509662
204.025	36.1633	1.3199	-0.419932	-0.107302	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	1.33538
204.026	36.1517	1.50628	-0.283807	0.155053	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.27134
