Kp:	0.2	Ki:	0	Kd:	0.4
cte	steer_value
0.0686	-0.01484	18.58
0.0716	-0.01552	18.1479
0.0747	-0.01618	18.5992
0.0778	-0.0168	18.1681
0.081	-0.01748	18.6181
0.0831	-0.01746	18.6243
0.0863	-0.01854	18.1946
0.0895	-0.01918	18.6429
0.0926	-0.01976	18.2142
0.0947	-0.01978	18.2207
0.0977	-0.02074	18.6673
0.1006	-0.02128	18.24
0.1025	-0.02126	18.2463
0.1052	-0.02212	18.6914
0.1077	-0.02254	18.2653
0.1101	-0.02298	18.709
0.1115	-0.02286	18.7149
0.1136	-0.02356	18.2909
0.1176	-0.02512	18.7323
0.1348	-0.03384	18.7382
0.1634	-0.04412	18.3149
0.1699	-0.03658	18.3209
0.2002	-0.05216	18.7606
0.2377	-0.06254	18.3389
0.275	-0.06992	18.7769
0.2987	-0.06922	18.7822
0.3325	-0.08002	18.3614
0.3645	-0.0857	18.7977
0.3844	-0.08484	18.8027
0.412	-0.09344	18.3839
0.429	-0.0926	18.3895
0.452	-0.0996	18.8226
0.472	-0.1024	18.4059
0.4837	-0.10142	18.4113
0.4985	-0.10562	18.8426
0.51	-0.1066	18.4276
0.5158	-0.10548	18.433
0.5216	-0.10664	18.8627
0.5241	-0.10582	18.4493
0.5238	-0.10464	18.4547
0.5221	-0.10374	18.4602
0.5142	-0.09968	18.4711
0.508	-0.09912	18.4765
0.4961	-0.09446	18.9034
0.4812	-0.09028	18.4928
0.4696	-0.08928	18.4982
0.4567	-0.08618	18.5037
0.4351	-0.07838	18.9289
0.4193	-0.07754	18.934
0.4024	-0.07372	18.9392
0.3657	-0.05846	18.9492
0.3459	-0.06126	18.9542
0.3254	-0.05688	18.9593
0.2935	-0.04594	18.5518
0.2712	-0.04532	18.5571
0.2369	-0.03366	18.9786
0.2019	-0.02638	18.5723
0.178	-0.02604	18.5777
0.1419	-0.01394	18.9978
0.1178	-0.01392	19.0025
0.0819	-0.00202	18.5977
0.046	0.00516	19.0161
0.0224	0.00496	19.0205
-0.012	0.01616	18.617
-0.0458	0.02268	19.0337
-0.0675	0.02218	19.0379
-0.0987	0.03222	18.6357
-0.1284	0.03756	19.0504
-0.1471	0.0369	19.0545
-0.1732	0.04508	18.654
-0.1973	0.0491	19.0668
-0.2121	0.04834	19.0707
-0.2318	0.05424	18.672
-0.2491	0.05674	19.0828
-0.2635	0.05846	18.6854
-0.2715	0.0575	18.6898
-0.2767	0.05742	18.6942
-0.2856	0.06068	19.1027
-0.2666	0.04572	18.7077
-0.2362	0.03508	18.7121
-0.1839	0.01586	19.1191
-0.1464	0.01428	19.1234
-0.0893	-0.00498	18.7309
-0.0505	-0.00542	18.7355
0.0082	-0.02512	19.1401
0.0667	-0.03674	18.7486
0.1058	-0.0368	18.7528
0.1638	-0.05596	19.1556
0.2205	-0.06678	18.7649
0.2761	-0.07746	19.1665
0.3119	-0.0767	19.1698
0.3634	-0.09328	18.78
0.3965	-0.09254	18.783
0.4437	-0.10762	19.1828
0.4734	-0.10656	19.186
0.5148	-0.11952	18.7972
0.5528	-0.12576	19.1951
0.5758	-0.12436	19.1976
0.5969	-0.12782	19.2004
0.625	-0.13624	18.8152
0.6412	-0.13472	18.8188
0.6617	-0.14054	19.2125
0.6775	-0.14182	18.8298
0.6853	-0.14018	18.8335
0.6928	-0.14156	19.2249
0.6955	-0.14018	18.8447
0.6945	-0.1385	18.8486
0.689	-0.1356	19.2382
0.6787	-0.13162	18.8604
0.6714	-0.13136	18.8644
0.666	-0.13104	19.2524
0.6656	-0.13296	19.2558
0.6698	-0.13564	18.8806
0.6707	-0.1345	19.2662
0.667	-0.13192	18.8918
0.6618	-0.13028	18.8955
0.6503	-0.12546	19.2795
0.6343	-0.12046	18.9069
0.6213	-0.11906	18.9108
0.5981	-0.11034	19.2935
0.5712	-0.10348	18.9226
0.5402	-0.09564	19.304
0.5177	-0.09454	19.3077
0.4816	-0.08188	18.9387
0.4558	-0.08084	18.9427
0.4147	-0.0665	19.3223
0.3861	-0.06578	19.3256
0.3565	-0.05946	19.3293
0.295	-0.0344	19.3361
0.263	-0.0398	19.3395
0.1983	-0.01378	19.3459
0.1655	-0.01998	19.3491
0.1327	-0.01342	19.352
0.0838	0.0028	18.9862
0.0511	0.00286	18.9896
0.0028	0.01876	19.3639
-0.0445	0.02782	18.9992
-0.0905	0.0365	19.3723
-0.1345	0.0445	19.0081
-0.1578	0.04088	19.0108
-0.2001	0.05694	19.3826
-0.1586	0.01512	19.0193
-0.1315	0.01546	19.3904
-0.1012	0.00812	19.0283
-0.0696	0.00128	19.3995
-0.0372	-0.00552	19.0386
-0.0039	-0.01254	19.4082
0.0185	-0.01266	19.4111
0.0522	-0.02392	19.0521
0.0862	-0.03084	19.4193
0.1197	-0.03734	19.0619
0.1419	-0.03726	19.0651
0.185	-0.05424	19.0713
0.2165	-0.0559	19.4351
0.2367	-0.05542	19.4371
0.2655	-0.06462	19.0829
0.2929	-0.06954	19.4451
0.3101	-0.0689	19.4475
0.334	-0.07636	19.0945
0.3559	-0.07994	19.4552
0.3753	-0.08282	19.1024
0.3923	-0.08526	19.4629
0.4066	-0.08704	19.1095
0.4146	-0.08612	19.112
0.4242	-0.08868	19.4732
0.4309	-0.08886	19.1199
0.4339	-0.08798	19.1225
0.4358	-0.08792	19.4834
0.4349	-0.08662	19.1308
0.431	-0.08464	19.4909
0.4244	-0.08224	19.1392
0.4149	-0.07918	19.4983
0.4029	-0.07578	19.1479
0.3883	-0.07182	19.5057
0.3713	-0.06746	19.1569
0.352	-0.06268	19.5131
0.3308	-0.05768	19.1658
0.3076	-0.05224	19.5204
0.2828	-0.04664	19.1749
0.2655	-0.04618	19.1778
0.2384	-0.03684	19.5299
0.2104	-0.03088	19.1874
0.1911	-0.0305	19.1889
0.152	-0.01476	19.1946
0.132	-0.0184	19.1974
0.1022	-0.00852	19.5461
0.0726	-0.00268	19.2051
0.0431	0.00318	19.5529
0.0343	-0.00334	19.2126
0.0851	-0.03734	19.2149
0.0257	0.01862	19.22
0.0155	0.00098	19.2221
0.0474	-0.02224	19.5672
