Kp:	0.1	Ki:	0	Kd:	0.4
cte	steer_value
0.4225	-0.04389	9.7985
0.4243	-0.04315	9.8067
0.4287	-0.04463	9.819
0.435	-0.04602	9.8312
0.4428	-0.0474	9.8433
0.4511	-0.04843	9.8553
0.4565	-0.04781	9.8633
0.4642	-0.0495	9.8752
0.4716	-0.05012	9.8871
0.4786	-0.05066	9.8988
0.4852	-0.05116	9.9105
0.4894	-0.05062	9.9182
0.4954	-0.05194	9.9298
0.501	-0.05234	9.9413
0.5045	-0.05185	9.949
0.5095	-0.05295	9.9603
0.5141	-0.05325	9.9717
0.5182	-0.05346	9.9829
0.5208	-0.05312	9.9903
0.5243	-0.05383	10.0015
0.5274	-0.05398	10.0125
0.5292	-0.05364	10.0199
0.5316	-0.05412	10.0308
0.5337	-0.05421	10.0417
0.5348	-0.05392	10.0489
0.5361	-0.05413	10.0597
0.537	-0.05406	10.0704
0.5374	-0.0539	10.0775
0.5377	-0.05389	10.0881
0.5375	-0.05367	10.0986
0.5369	-0.05345	10.1091
0.5363	-0.05339	10.116
0.5351	-0.05303	10.1264
0.534	-0.05296	10.1332
0.5321	-0.05245	10.1435
0.5298	-0.05206	10.1537
0.5281	-0.05213	10.1605
0.5252	-0.05136	10.1706
0.5219	-0.05087	10.1806
0.5182	-0.05034	10.1906
0.5141	-0.04977	10.2005
0.5097	-0.04921	10.2103
0.5066	-0.04942	10.2168
0.5016	-0.04816	10.2266
0.4963	-0.04751	10.2362
0.4906	-0.04678	10.2459
0.4846	-0.04606	10.2554
0.4804	-0.04636	10.2618
0.4739	-0.04479	10.2713
0.4671	-0.04399	10.2806
0.4624	-0.04436	10.2869
0.4551	-0.04259	10.2962
0.4475	-0.04171	10.3054
0.4396	-0.0408	10.3146
0.4342	-0.04126	10.3207
0.4259	-0.03927	10.3298
0.4174	-0.03834	10.3389
0.4116	-0.03884	10.3449
0.4027	-0.03671	10.3538
0.3936	-0.03572	10.3627
0.3874	-0.03626	10.3686
0.378	-0.03404	10.3774
0.3684	-0.033	10.3862
0.3619	-0.03359	10.392
0.3521	-0.03129	10.4006
0.342	-0.03016	10.4092
0.3353	-0.03085	10.4149
0.3217	-0.02673	10.4263
0.3148	-0.02872	10.4319
0.3044	-0.02628	10.4403
0.2974	-0.02694	10.4459
0.2868	-0.02444	10.4542
0.2762	-0.02338	10.4624
0.2655	-0.02227	10.4707
0.2584	-0.023	10.4761
0.2477	-0.02049	10.4842
0.237	-0.01942	10.4923
0.23	-0.0202	10.4977
0.2213	-0.01865	10.5057
0.2147	-0.01883	10.5136
0.2103	-0.01927	10.5215
0.2076	-0.01968	10.5267
0.206	-0.01996	10.5346
0.2063	-0.02075	10.5423
0.2084	-0.02168	10.55
