Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
-0.1937	-0.137388	50.0184
-0.206	0.0131855	49.9745
-0.2326	0.0121019	50.1118
-0.2675	0.0161735	50.307
-0.3317	0.133878	50.6987
-0.3809	0.00803518	50.9588
-0.4553	0.162851	51.2203
-0.5048	0.008517	51.4152
-0.5509	0.0586745	51.5964
-0.6155	0.165972	51.9035
-0.6551	0.0243731	52.1424
-0.6877	0.0582963	52.2965
-0.7257	0.112734	52.5835
-0.7438	0.0213493	52.8115
-0.7445	-0.00515284	52.9943
-0.6322	-0.469972	53.3092
-0.5326	-0.160117	53.5583
-0.437	-0.166753	53.5109
-0.3045	-0.360874	53.4744
-0.2238	-0.0633935	53.5691
-0.1565	-0.132676	53.5282
-0.0746	-0.252372	53.6592
-0.032	-0.0581861	53.8285
0.0039	-0.126276	53.8911
0.0104	-0.0230205	53.9879
0.0038	-0.0363818	54.1598
0.0584	-0.349723	54.4574
0.045	0.090087	54.6883
0.0779	-0.26698	54.7206
0.1081	-0.16392	54.808
0.1122	-0.0500515	54.8653
0.1002	-0.039868	54.898
0.0749	-0.020792	55.0404
0.0153	0.104348	55.3583
-0.0374	0.000245694	55.5824
-0.096	0.0466338	55.7734
-0.1941	0.224195	56.091
-0.2649	0.0251287	56.3225
-0.3328	0.0833283	56.4277
-0.4311	0.246988	56.6492
-0.4934	0.03295	56.8482
-0.5462	0.0829745	56.9205
-0.591	0.0877951	57.0152
-0.643	0.152541	57.2891
-0.6624	0.00163972	57.4527
-0.6097	-0.243399	57.6263
-0.5309	-0.192631	57.7823
-0.4463	-0.155647	57.8821
-0.3631	-0.143742	57.8903
-0.2438	-0.32371	57.9904
-0.1699	-0.0541831	58.0812
-0.1075	-0.115938	58.0655
-0.0546	-0.119796	58.1006
-0.0104	-0.1156	58.2591
0.0368	-0.160281	58.4512
0.0544	-0.0298603	58.5781
0.0591	-0.0445406	58.6849
0.0459	-0.000698572	58.9246
0.025	-0.00877698	59.1296
-0.0218	0.0906774	59.4597
-0.062	0.00660038	59.6936
-0.1057	0.0408194	59.8851
-0.1527	0.0570859	60.067
-0.227	0.182064	60.3773
-0.2769	0.0210241	60.5646
-0.3217	0.0608406	60.6768
-0.3621	0.0669957	60.7959
-0.4137	0.138634	61.073
-0.4404	0.011479	61.2423
-0.4577	0.0324261	61.3731
-0.4614	0.00265324	61.5179
-0.6023	0.662046	61.771
-0.3243	-1.53165	62.0622
-0.101	-0.369757	61.5629
0.1965	-0.798882	59.731
0.3654	-0.101215	58.641
0.5259	-0.387069	57.4107
0.7541	-0.770537	55.8535
0.8916	-0.248582	55.2139
1.0602	-0.621137	54.0937
1.1461	-0.224918	53.2278
1.207	-0.323278	52.1474
1.2544	-0.353035	50.6264
1.2564	-0.19888	50.0875
1.2319	-0.194356	49.996
1.1502	-0.00658978	50.0375
1.0668	-0.128957	50.1233
0.965	-0.0492035	50.2911
0.777	0.312856	50.5826
0.63	-0.0480616	50.7691
0.4005	0.431952	50.752
0.2422	-0.037668	50.8263
0.0873	0.12925	50.7829
-0.1445	0.527986	50.9071
-0.2984	0.03883	51.0968
-0.44	0.183106	50.5177
-0.6346	0.495271	49.9943
-0.7539	0.0710945	50.1573
-0.8537	0.176456	50.0075
-0.975	0.356214	50.084
-1.0377	0.0711	50.2389
-1.0892	0.171097	50.1515
-1.0973	0.0256649	50.2078
-1.0857	0.0477833	50.3643
-1.0365	-0.0656314	50.6633
-0.9839	0.00702529	50.9039
-0.9191	-0.0389333	51.1199
-0.7997	-0.265402	51.4841
-0.7071	-0.0317883	51.7339
-0.566	-0.319491	51.8184
-0.4711	-0.0241019	51.9249
-0.3813	-0.117596	51.9904
-0.2514	-0.33554	52.1881
-0.1681	-0.0546178	52.3902
-0.0958	-0.122629	52.4049
-0.0024	-0.26626	52.5665
0.0504	-0.0526936	52.7491
0.0901	-0.0957656	52.8123
0.13	-0.143166	53.0134
0.1444	-0.0382438	53.2081
0.1473	-0.0499478	53.3572
0.1331	-0.00566525	53.6369
0.1124	-0.0170978	53.8569
0.0674	0.0777549	54.2134
0.0291	-0.00341668	54.4625
-0.0128	0.0311206	54.6748
-0.082	0.155406	55.0124
-0.1315	0.0142426	55.253
-0.1786	0.0545657	55.4134
-0.2463	0.166754	55.6918
-0.2889	0.018653	55.9134
-0.325	0.0538487	56.0542
-0.3687	0.116376	56.318
-0.3911	0.013078	56.5352
-0.4086	0.0456703	56.77
-0.4099	-0.00733883	56.9465
-0.4033	-0.00175872	57.1657
-0.3802	-0.0544131	57.5028
-0.3567	-0.0183323	57.7431
-0.3283	-0.039404	57.9649
-0.2772	-0.13463	58.2831
-0.2382	-0.0336922	58.4993
-0.18	-0.151508	58.7136
-0.142	-0.0267851	58.8621
-0.1071	-0.0636874	59.0131
-0.0592	-0.139896	59.2584
-0.0302	-0.0331608	59.4554
-0.0362	0.0779408	59.5982
0.2527	-1.34523	59.8413
0.5073	-0.554413	60.0189
0.1954	1.94119	58.9511
0.0695	-0.187464	57.9669
0.0645	-0.382174	56.3439
0.0491	-0.0209072	55.4551
0.0176	0.0559925	54.1468
-0.0522	0.197683	54.1658
-0.1086	0.0565668	54.3811
-0.1936	0.221521	54.5143
-0.2489	0.0379319	54.6347
-0.2986	0.0889189	54.7383
-0.3649	0.19342	54.9624
-0.4028	0.0407755	55.1581
-0.4403	0.111837	55.2954
-0.4526	0.0125001	55.4238
-0.4542	0.0281683	55.6036
-0.439	-0.0157786	55.9083
-0.4196	0.00617827	55.9077
-0.3993	0.0133857	56.0418
-0.3434	-0.147288	56.6582
-0.2919	-0.0521264	56.6769
-0.2121	-0.192733	57.2671
-0.1574	-0.0265274	57.3584
-0.1053	-0.0785168	57.4492
0.1423	-0.985715	57.6461
0.109	0.703196	57.8392
0.2961	-0.918124	56.8183
0.4107	-0.155531	55.7631
0.5134	-0.257966	54.6701
0.6422	-0.436986	53.0838
0.7094	-0.125834	52.6131
0.768	-0.243324	52.3433
0.7806	-0.0805842	52.3132
0.7725	-0.103527	52.3936
0.7263	0.00982961	52.592
0.6742	-0.0523082	52.7725
0.5708	0.166097	53.1006
0.4864	-0.0258099	53.3385
0.3958	0.0514507	53.4805
0.3146	0.0127578	53.7541
0.3063	-0.282447	53.9776
0.2889	-0.0663635	54.3267
0.2651	-0.0423273	54.4089
0.2314	-0.00961341	54.4819
0.1664	0.11323	54.7892
0.1149	-0.0124085	55.0182
0.0343	0.15473	55.2841
-0.0209	-0.0120869	55.4689
-0.0738	0.0427324	55.6383
-0.1508	0.172374	55.9176
-0.2005	0.00748835	56.145
-0.2617	0.129915	56.3259
-0.2939	-0.0113335	56.4743
-0.318	0.0259857	56.6579
-0.1675	-0.735812	56.9465
-0.0435	-0.228173	57.1775
0.1345	-0.525308	56.1965
0.2412	-0.110693	55.2924
0.3342	-0.228286	54.0987
0.4512	-0.401609	52.8078
0.5917	-0.479128	52.8721
0.8338	-0.909125	52.7726
1.1541	-1.06772	52.3726
1.3257	-0.253036	51.6834
1.4597	-0.455332	50.6326
1.5998	-0.630562	49.1455
1.6511	-0.255448	48.5215
