Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
-0.4237	0.0347985	50.3865
-0.4427	0.0183716	50.4363
-0.4498	-0.00541908	50.4702
-0.4523	0.00697078	50.5212
-0.4491	-0.00334781	50.5551
-0.4375	-0.0257942	50.6056
-0.4179	-0.0415761	50.6559
-0.392	-0.0516563	50.7055
-0.3725	-0.00946689	50.738
-0.3735	0.0674433	50.7862
-0.5627	0.87332	50.7964
0.2214	-3.95457	50.8851
0.221	1.72255	50.516
0.4608	-1.03952	50.2631
0.7279	-0.779259	49.9289
1.0057	-0.781368	49.6512
1.2662	-0.726021	49.3623
1.4202	-0.335369	49.1971
1.6067	-0.772813	48.9686
1.7373	-0.504728	48.9775
1.7956	-0.335829	48.7746
1.7681	-0.146033	48.7288
1.6587	0.00612761	48.7829
1.4796	0.125193	48.8571
1.2474	0.212287	48.9099
1.0724	-0.148398	48.9243
0.7956	0.46673	48.9192
0.4943	0.39678	48.9497
0.1894	0.391707	48.8304
-0.0915	0.325349	48.7622
-0.3349	0.264665	48.7303
-0.4724	-0.0748682	48.7412
-0.6403	0.349454	48.7855
-0.777	0.191505	48.8145
-0.8713	0.0977828	48.795
-0.9063	-0.0439398	48.8284
-0.9233	0.0335733	48.8926
-0.9077	-0.0527872	48.9466
-0.8635	-0.100435	49.0064
-0.8206	-0.0252944	49.044
-0.7161	-0.30687	49.1107
-0.6242	-0.120817	49.1672
-0.5375	-0.130233	49.1525
-0.4619	-0.108147	49.2029
-0.3973	-0.0983198	49.257
-0.3457	-0.0784465	49.313
-0.3082	-0.0561065	49.3694
-0.2913	-0.00472627	49.4073
-0.2768	-0.0477038	49.4642
-0.2726	-0.0126217	49.5189
-0.2751	-0.00720173	49.5562
-0.2858	0.0135809	49.6116
-0.3031	0.025751	49.6667
-0.3245	0.0314457	49.7206
-0.3473	0.0319611	49.7738
-0.3621	-0.00292089	49.809
-0.3821	0.0434473	49.8617
-0.3999	0.0279221	49.9154
-0.4095	-7.03201e-05	49.9497
-0.4193	0.0239729	50.0021
-0.4229	0.00042935	50.0373
-0.4233	0.00295597	50.0894
-0.4178	-0.0133619	50.1418
-0.4109	-0.00450394	50.1764
-0.3967	-0.0328805	50.2282
-0.3846	-0.00691357	50.2625
-0.3639	-0.0503223	50.3133
-0.3484	-0.00923264	50.3472
-0.3243	-0.0605666	50.3968
-0.3076	-0.010877	50.4302
-0.2834	-0.0628587	50.479
-0.2677	-0.0113863	50.512
-0.2462	-0.0584672	50.5603
-0.2331	-0.0113331	50.593
-0.2162	-0.0490862	50.6412
-0.2066	-0.0109243	50.6736
-0.1986	-0.0213923	50.7057
-0.1885	-0.0368575	50.754
-0.1806	-0.0235434	50.8021
-0.1768	-0.0106033	50.834
-0.1733	-0.0194079	50.8816
-0.1763	0.00852918	50.9289
-0.2249	0.201155	50.9604
-0.3577	0.48407	50.9912
-0.7041	1.27159	50.9919
-0.0871	-3.55406	50.8487
0.0603	0.697741	50.5829
0.235	-0.382649	50.3177
0.3736	-0.264559	50.077
0.5967	-0.762211	49.9427
0.8171	-0.60172	49.9158
0.9537	-0.257088	49.7876
1.1245	-0.63952	49.5926
1.2541	-0.424579	49.6195
1.3255	-0.282131	49.4622
1.3336	-0.158859	49.4501
1.2921	-0.102158	49.5022
1.2319	-0.14497	49.5458
1.1488	-0.089219	49.588
0.9825	0.241088	49.6485
0.8457	-0.0665898	49.6892
0.6212	0.407526	49.5844
0.467	-0.0742978	49.6984
0.2052	0.591337	49.4948
0.0356	-0.0203916	49.3698
-0.1978	0.49969	49.3316
-0.3416	0.00356115	49.3475
-0.5252	0.413925	49.244
-0.6269	0.00152238	49.2587
-0.7078	0.116413	49.2185
-0.6912	-0.243281	49.2552
-0.6181	-0.264054	49.3218
-0.5258	-0.209618	49.2945
-0.4641	-0.0283513	49.2808
-0.3763	-0.224487	49.3022
-0.2904	-0.174939	49.356
-0.2377	-0.0394541	49.3755
-0.1718	-0.1871	49.421
-0.1177	-0.120666	49.477
-0.0805	-0.0797525	49.5196
-0.0635	-0.0370229	49.574
-0.0649	-0.00782236	49.6309
-0.0749	-0.016067	49.6687
-0.0692	-0.109404	49.7053
0.0158	-0.434873	49.7608
0.0784	-0.158833	49.7941
0.1407	-0.207083	49.7015
0.1653	-0.0521965	49.745
0.162	-0.0204836	49.7729
0.1323	0.0259136	49.8292
0.0786	0.0714404	49.8843
0.0326	-0.0160142	49.9184
-0.0185	0.0288751	49.9483
-0.105	0.188308	50.0011
-0.168	0.0138285	50.0359
-0.2581	0.198118	50.0535
-0.3433	0.133848	50.1039
-0.415	0.0967754	50.1261
-0.4138	-0.186279	50.1543
-0.2816	-0.604087	50.2044
-0.1893	-0.122603	50.2066
-0.0671	-0.342985	50.0266
0.0359	-0.213667	50.0494
0.0899	-0.0511968	50.0307
0.1452	-0.187036	50.0639
0.3883	-1.05697	50.1169
0.5881	-0.464153	50.1443
0.8463	-0.835489	49.8976
0.9837	-0.206872	49.7873
1.0866	-0.355321	49.6365
1.1869	-0.471476	49.6645
1.2168	-0.190313	49.6752
1.2109	-0.206031	49.641
1.1437	-0.0298482	49.7
1.0629	-0.112859	49.7388
1.0617	-0.507415	49.7967
1.1504	-0.734288	49.8329
1.2239	-0.458498	49.7062
1.2251	-0.166305	49.5677
1.1865	-0.163145	49.5172
1.1147	-0.118002	49.5585
0.9575	0.191491	49.6205
0.9947	-0.873631	49.664
1.3141	-1.72182	49.6578
1.5063	-0.505868	49.4049
1.5976	-0.333657	49.2092
1.6708	-0.533801	49.0343
1.6681	-0.273724	49.0462
1.5803	-0.0783022	48.947
1.4134	0.0747332	48.9999
1.3828	-0.722308	49.0691
1.4208	-0.727037	49.0945
1.4232	-0.390532	48.8771
1.3824	-0.269207	48.7155
1.2479	0.0506017	48.6784
1.033	0.20564	48.7238
0.8562	-0.139477	48.7567
0.6655	0.0271027	48.752
0.5343	-0.235958	48.7921
0.4505	-0.289367	48.8487
0.3265	0.0309337	48.8553
0.1526	0.194717	48.8477
0.0149	-0.0621126	48.8824
-0.2035	0.405687	48.8925
-0.3575	-0.0290417	48.9246
-0.581	0.454308	48.8408
-0.7259	-0.0108688	48.8642
-0.7677	-0.274828	48.7726
-0.6946	-0.52698	48.7966
-0.6225	-0.240498	48.7614
-0.5313	-0.316864	48.6043
-0.4846	-0.0833226	48.5986
-0.4418	-0.174216	48.5921
-0.4267	-0.0725909	48.6527
