Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
0.7238	-0.125982	41.8131
0.7221	-0.15654	41.8649
0.683	-0.0588308	41.9183
0.6579	-0.211737	41.968
0.6762	-0.380938	42.0168
0.6624	-0.136458	42.0481
0.6291	-0.115232	42.0222
0.5486	0.0512186	42.0674
0.4775	-0.0941577	42.0997
0.3554	0.161746	42.1325
0.2139	0.151992	42.1744
0.0952	0.0189341	42.182
0.1032	-0.484299	42.1951
0.2021	-0.594613	42.2368
0.2805	-0.281006	42.089
0.3096	-0.102122	41.9659
0.3213	-0.148974	41.9674
0.3035	-0.069527	42.0156
0.2588	-0.0192492	42.0607
0.1901	0.0274264	42.1081
0.1034	0.058924	42.1528
0.0385	-0.0716171	42.1798
-0.0644	0.160727	42.2169
-0.1767	0.137166	42.2571
-0.2522	-0.0370763	42.2662
-0.3592	0.205914	42.2923
-0.461	0.136422	42.3315
-0.4652	-0.278552	42.336
-0.3313	-0.670983	42.3677
-0.1901	-0.382369	42.3187
-0.1099	-0.0860866	42.1877
-0.0185	-0.292461	42.1145
0.0483	-0.183212	42.1566
0.0864	-0.122913	42.1649
0.0943	-0.0661	42.1919
0.0845	-0.0651146	42.2386
0.0523	-0.0101931	42.2847
0.0005	0.0276802	42.33
-0.0666	0.0558841	42.3728
-0.1171	-0.0468246	42.3992
-0.1599	-0.0357146	42.4361
-0.149	-0.249438	42.477
-0.1456	-0.0880349	42.5189
-0.1602	-0.0136409	42.5096
-0.1805	-0.0276043	42.5351
-0.2197	0.0456561	42.5769
-0.2679	0.048636	42.6189
-0.3029	-0.0261689	42.6435
-0.3447	0.0416855	42.6808
-0.2577	-0.547192	42.7213
-0.1578	-0.317488	42.76
-0.0781	-0.188788	42.592
-0.044	-0.040046	42.5664
-0.0156	-0.132038	42.5987
-0.0071	-0.0697448	42.6402
-0.0122	-0.058606	42.6664
-0.0352	-0.0125895	42.709
-0.0596	-0.0470796	42.7371
-0.1066	0.0533026	42.7777
-0.1445	-0.0327239	42.8049
-0.206	0.0992315	42.8393
-0.2735	0.0844707	42.8786
-0.341	0.0796791	42.9072
-0.3834	-0.0216056	42.9293
-0.4414	0.118002	42.9646
-0.4958	0.0823031	43.0024
-0.5113	-0.0760895	43.0309
-0.4415	-0.365676	43.0664
-0.3584	-0.228095	43.097
-0.2901	-0.126736	43.0147
-0.2443	-0.0676139	43.0217
-0.224	-0.0155416	43.0459
-0.2054	-0.0758165	43.0856
-0.1972	-0.0407573	43.1231
-0.1978	-0.0270433	43.1485
-0.2072	-0.00917809	43.1873
-0.2252	0.00969448	43.2256
-0.2411	-0.0177879	43.2507
-0.2676	0.0373911	43.2874
-0.2446	-0.206003	43.3248
-0.2018	-0.184143	43.348
-0.1462	-0.193285	43.3493
-0.1095	-0.08264	43.3665
-0.0944	-0.0330961	43.3869
-0.0981	-0.00489642	43.424
-0.116	0.0116142	43.461
-0.1443	0.0250055	43.4965
-0.1799	0.0363474	43.5311
-0.2061	-0.0184073	43.5538
-0.2468	0.0738032	43.5872
-0.2899	0.0607354	43.6223
-0.318	-0.00638967	43.642
-0.3562	0.0808163	43.6738
-0.3913	0.0543083	43.7085
-0.4202	0.0399429	43.7381
-0.4346	-0.00362766	43.7599
-0.4495	0.0385905	43.7939
-0.4555	0.00446761	43.8169
-0.4515	-0.01684	43.8503
-0.4001	-0.205567	43.8845
-0.3086	-0.281493	43.9182
-0.2472	-0.0568586	43.9151
-0.1707	-0.198854	43.8872
-0.1076	-0.12138	43.9181
-0.0608	-0.0882537	43.9344
-0.0322	-0.0553533	43.9658
-0.0199	-0.0331792	43.9996
-0.0219	-0.0129703	44.0334
-0.0359	0.00460245	44.0666
-0.0506	-0.0208977	44.0883
-0.0783	0.0368391	44.1198
-0.1003	-0.0145828	44.1412
-0.1356	0.0612751	44.1706
-0.1734	0.0492595	44.2023
-0.2103	0.0445975	44.2296
-0.2433	0.0361595	44.2589
-0.2624	-0.0103592	44.2789
-0.2862	0.0492704	44.3094
-0.3057	0.0270029	44.3404
-0.319	0.0132272	44.3694
-0.3249	-0.00116013	44.3998
-0.3251	-0.0058906	44.4202
-0.3204	-0.0118282	44.4508
-0.3105	-0.0222805	44.4812
-0.2959	-0.0309623	44.5113
-0.2842	-0.00724985	44.5312
-0.2601	-0.0705414	44.5607
-0.7457	2.26749	44.5646
0.3915	-6.20515	44.6233
0.2033	3.33432	44.288
0.3088	-0.794261	43.9223
0.4358	-0.450022	43.6909
0.6244	-0.666449	43.3936
0.784	-0.419983	43.244
0.8665	-0.159586	43.1174
0.9497	-0.368892	43.0679
0.9826	-0.173774	43.0955
0.9925	-0.199591	43.092
0.9584	-0.0698767	43.1347
0.8841	0.00597036	43.1738
0.8151	-0.111408	43.2013
0.6914	0.150882	43.2334
0.5427	0.156105	43.2696
0.3818	0.16796	43.2693
0.2212	0.161207	43.2783
0.0677	0.15663	43.2929
-0.0738	0.147809	43.315
-0.1993	0.132225	43.3412
-0.3059	0.111454	43.3706
-0.3918	0.0870473	43.4029
-0.4563	0.0607391	43.4374
-0.4997	0.0340162	43.4734
-0.5234	0.00924696	43.5099
-0.5291	-0.0148324	43.5462
-0.5193	-0.0352772	43.5819
-0.5058	-0.0114421	43.6051
-0.4776	-0.0667299	43.6386
-0.4409	-0.0730816	43.6727
-0.3992	-0.0780433	43.7043
-0.3559	-0.0780192	43.7358
-0.3275	-0.0124101	43.7568
-0.287	-0.106373	43.7885
-0.2476	-0.0822346	43.8207
-0.2124	-0.0702434	43.8493
-0.1842	-0.0543758	43.8807
-0.1693	-0.0161034	43.9022
-0.1525	-0.0598481	43.9348
-0.1406	-0.0384466	43.9668
-0.1343	-0.0262313	43.9986
-0.134	-0.0139029	44.0307
-0.1366	-0.0156711	44.052
-0.1435	-0.00328055	44.0837
-0.1499	-0.0145452	44.1047
-0.1611	0.00930983	44.1359
-0.1742	0.00932784	44.1671
-0.1832	-0.0115564	44.1875
-0.1962	0.0182578	44.2179
-0.2087	0.0104908	44.2486
