Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
-7.4536	5.61033	0.0038
-7.4536	5.66623	0.0121
-7.4536	5.72213	0.0064
-7.4536	5.77803	0.0042
-7.4536	5.83393	0.0031
-7.4536	5.88984	0.0056
-7.4536	5.94574	0.0067
-7.4536	6.00164	0.0076
-7.4536	6.05754	0.0055
-7.4536	6.11344	0.0041
-7.4536	6.16935	0.0034
-7.4536	6.22525	0.0123
-7.4536	6.28115	0.008
-7.4536	6.33705	0.0088
-7.4536	6.39295	0.0027
-7.4536	6.44886	0.0034
-7.4536	6.50476	0.0047
-7.4536	6.56066	0.0027
-7.4536	6.61656	0.0014
-7.4536	6.67246	0.0018
